拼音城市,出现次数,中文城市,备注
HUHEHAOTECITYNEIMENGGUPROVINCE,1,内蒙古,需填写
NANJIANG,1,,需填写
JINGJIANG,1,,需填写
ENPING,1,,需填写
CHONGZUO,1,崇左,
DEHONGRUILI,1,,需填写
JN,1,,需填写
HEFEIFEIXI,1,,需填写
BEJIING,1,,需填写
EIJING,1,,需填写
KAIFUDISTRICTCHANGSHACITYHUNANPROVENCEPRCHINA,1,,需填写
CHINAHEBEIBAODINGZHUOZHOU,1,,需填写
URMQI,1,,需填写
HEBEISHENGHENGSHUISHI,1,河北,需填写
MANASI,1,,需填写
URC,1,,需填写
XIAMENG,1,,需填写
LPS,1,,需填写
GUOYANG,1,,需填写
BAODINGSHI,1,保定,需填写
YUNNANQUJING,1,云南,需填写
MIDDLEJINDOULUXINTAICITY,1,,需填写
PINGGU,1,,需填写
ERDOSDALATEQI,1,,需填写
AKSUCITY,1,,需填写
LIXIADISTRICTJINANCITYSHANDONGPROVINCEPRCHINA,1,,需填写
XINGNINGCITYGUANGDONGPROVINCE,1,广东,需填写
DONGNINGCITY,1,,需填写
QUJIANSUBURBSHAOGUANCITYGUANGDONGPROVINCE,1,广东,需填写
HEDONG,1,,需填写
SHAANXIXIAN,1,西安,需填写
XIANNINGHUBEI,1,湖北,
LIAOCHENGSHI,1,聊城,需填写
TAIZHOUCITYJIANGSUPROVINCE,1,江苏,需填写
YINGCHENGCITY,1,,需填写
BEIHAINANNINGSHENZHEN,1,,需填写
BAODIN,1,,需填写
SUININGXUZHOUJIANGSU,1,江苏,
HYTERA,1,,需填写
KEERQINDISTRICTTONGLIAOINNERMONGOLIA,1,内蒙古,
TANGSHANG,1,,需填写
XY,1,,需填写
KUNMINGYUNNANPROVINCE,1,昆明,需填写
HLJ,1,,需填写
COCODALA,1,,需填写
CJ,1,,需填写
CHENGRUIYANG,1,,需填写
YUEYANGSHIXIANGYINXIAN,1,,需填写
LONGYANCITYXINLUO,1,,需填写
SYS,1,,需填写
XUZHO,1,,需填写
JIANGXIFUZHOU,1,福州,需填写
CITYDINGSIROADBEIQIJIATOWNCHANGPINGDISTRICTBEIJINGCHINA,1,,需填写
MAOMINGCITY,1,,需填写
ZHABGJIAKOU,1,,需填写
JIANGSUPROVINCE,1,江苏,需填写
YUFU,1,,需填写
GANZHUO,1,,需填写
TANGSHANQIANAN,1,,需填写
TSUENWAN,1,,需填写
ZHANGJIANG,1,,需填写
NANHAI,1,,需填写
GUANGDONGFOSHAN,1,广东,需填写
FUXINSHI,1,阜新,需填写
HARBINHEILONGJIANGCHINA,1,哈尔滨,需填写
TIANJINCHINA,1,,需填写
JIANGSUZHENJIANG,1,江苏,需填写
BTS,1,,需填写
MEIXIANCOUNTYBAOJICITY,1,,需填写
LIANYUNGANGCITY,1,连云港,需填写
QINHUANGDAOHEBEI,1,河北,
XUETIANSUBDISTRICTCHONGCHUANDISTRICT,1,,需填写
JINNAN,1,,需填写
LELING,1,,需填写
ANHUIHEFEICITY,1,安徽,需填写
XICHENGDISTRICTBEIJING,1,,需填写
NN,1,,需填写
QD,1,,需填写
PINGLINGCITYKONGTONGDISTRICT,1,,需填写
ZHANGDIANDISTRICTZIBOCITY,1,,需填写
ZHANGPINGCITYFUJIANPROVINCE,1,,需填写
SHUZHOU,1,,需填写
RIZHAOCITYSHANDONGPROVINCE,1,山东,需填写
YICHUNSHI,1,宜春,需填写
LAIWUDISTRICTJINANCITY,1,,需填写
XAM,1,,需填写
BEIJINGCHAOYANG,1,,需填写
GUAN,1,,需填写
SHENZHOU,1,,需填写
HUIZHOUCITY,1,惠州,需填写
CHAOYANGBEIJING,1,,需填写
E,1,,需填写
DQS,1,,需填写
XIAMENFUJIANCHINA,1,,需填写
HAINANA,1,,需填写
DANGTONG,1,,需填写
PENGJIANGDISTRICTJIANGMENCITYGUANGDONGPROVINCE,1,广东,需填写
ZHEJIANSHAOXING,1,,需填写
BAZHONG,1,巴中,
LIUPANSHUICITY,1,,需填写
HUANGHUASHI,1,,需填写
HENANSHENGZHOUKOUSHILUYIXIAN,1,河南,需填写
SANMENXIA,1,三门峡,
HARBINSHUANGCHENG,1,,需填写
JIANGXIPROVINCE,1,江西,需填写
ZHANGZHOU,1,漳州,
GUANGANCITY,1,广安,需填写
XSBN,1,,需填写
SHZ,1,,需填写
LZ,1,,需填写
TAIWAN,1,,需填写
CHINYI,1,,需填写
TAIWANMIAOLI,1,,需填写
TAIWANTAICHUNG,1,,需填写
PINGDON,1,,需填写
LUZHOUSHI,1,泸州,需填写
YUNLING,1,,需填写
TALNAN,1,,需填写
NANTUAO,1,,需填写
CHANGHUA,1,彰化,
MAIOLI,1,,需填写
MIAOLICOUNTY,1,,需填写
CHUNGHWA,1,,需填写
TAININ,1,,需填写
PINTUNG,1,,需填写
TAIPEICITY,1,,需填写
NEWTAIPA,1,,需填写
YANGMEIDISTRICTTA,1,,需填写
TY,1,,需填写
YUNLINXIAN,1,,需填写
NEWTAIWANCITY,1,,需填写
TAIPER,1,,需填写
HSINCHUCITY,1,,需填写
TAINANCITY,1,,需填写
